customer_id,age,location,subscription_type,payment_plan,num_subscription_pauses,payment_method,customer_service_inquiries,signup_date,weekly_hours,average_session_length,song_skip_rate,weekly_songs_played,weekly_unique_songs,num_favorite_artists,num_platform_friends,num_playlists_created,num_shared_playlists,notifications_clicked,churned
65,32,New York,premium,annual,1,credit,few,1/15/2016,13.51377214,1.228580874,0.03,202,191,7,86,10,3,186,0
66,58,Wisconsin,student,annual,2,debit,none,9/14/2018,20.69206884,0.415059205,0.59,257,216,4,59,14,5,87,0
67,42,Wisconsin,basic,annual,1,credit,many,11/23/2014,19.05667187,0.677192512,0.11,234,130,7,87,13,4,71,0
68,68,Virginia,premium,monthly,0,debit,very frequent,1/10/2021,3.237618239,0.997862547,0.3,40,32,4,37,10,3,27,1
69,43,California,student,annual,2,debit,many,1/6/2018,17.27408445,0.493749229,0.47,249,194,6,66,14,4,54,0
70,23,Nebrasksa,basic,annual,2,credit,few,12/15/2020,8.386650499,0.285291207,0.57,163,162,3,72,13,4,91,0
71,69,North Dakota,family premium,monthly,1,debit,many,4/14/2015,17.72676814,1.824028423,0.69,318,165,5,47,16,8,0,1
72,34,Idaho,premium,monthly,2,credit,none,12/11/2013,24.1978623,2.471297805,0.06,463,237,4,99,6,6,374,0
73,70,West Virginia,family premium,monthly,1,credit,few,3/25/2021,23.16033358,1.736459399,0.01,318,186,5,47,17,6,1,0
74,58,North Carolina,family premium,annual,1,debit,few,4/17/2015,13.86312835,2.495631938,0.39,205,132,7,71,21,21,1,1
75,43,New Jersey,family premium,annual,2,credit,some,2/20/2020,18.27285554,1.883445527,0.1,246,220,4,67,15,5,0,0
76,74,West Virginia,family premium,annual,0,debit,very frequent,4/27/2013,25.59862971,4.038157092,0.61,414,237,9,40,20,7,0,0
77,80,North Carolina,family premium,annual,1,venmo,many,9/15/2018,15.00351224,1.422128548,0,248,129,7,44,20,5,2,0
78,57,Florida,basic,annual,2,debit,very frequent,4/23/2017,4.533831485,1.15070063,0.37,80,51,2,47,8,4,78,0
79,61,Wisconsin,premium,annual,2,credit,few,10/4/2016,5.233640181,1.275489593,0.18,67,44,5,43,14,5,104,0
80,47,Wisconsin,basic,monthly,1,venmo,very frequent,7/8/2018,26.30659272,2.126260827,0.04,469,299,8,62,12,3,71,0
81,86,West Virginia,basic,annual,2,credit,very frequent,5/9/2015,11.37069402,1.571205739,0.54,156,89,6,38,18,18,134,0
82,38,North Dakota,family premium,monthly,0,venmo,very frequent,9/19/2017,18.66741693,0.502892767,0.5,229,190,5,78,15,5,0,0
83,78,North Dakota,premium,annual,1,venmo,none,10/1/2018,13.14595248,1.522667708,0.67,171,114,7,36,17,6,99,0
84,80,California,basic,monthly,1,credit,very frequent,9/15/2016,9.771829531,0.715464718,0.44,127,82,4,24,14,14,61,0
85,86,Georgia,family premium,monthly,0,credit,none,10/24/2021,22.09841297,1.12858485,0.11,298,193,9,21,11,6,1,0
86,69,Nebrasksa,family premium,monthly,2,credit,many,5/2/2019,3.997093718,0.872193509,0.05,60,36,2,46,13,7,1,0
87,37,Idaho,basic,annual,2,debit,few,7/11/2018,10.64016906,0.16022112,0.57,211,167,3,72,6,6,56,0
88,76,Vermont,family premium,monthly,2,venmo,few,8/15/2016,25.05795387,4.115744951,0.19,468,292,4,27,8,3,1,0
89,39,Maine,student,annual,1,venmo,none,8/29/2016,8.302666654,0.310109747,0.88,105,103,6,74,6,6,250,0
90,29,Montana,family premium,annual,2,credit,very frequent,12/3/2019,11.91582181,1.385856002,0.13,176,117,3,88,11,6,0,0
91,18,South Carolina,student,annual,1,debit,none,4/12/2018,18.74858612,0.938733595,0.44,227,156,4,83,19,19,94,0
92,28,North Carolina,family premium,annual,2,debit,many,1/9/2015,21.47679744,2.43917683,0.09,380,215,4,93,19,5,2,0
93,81,Florida,basic,annual,1,debit,none,4/17/2015,4.400699135,0.940529111,0.7,68,57,6,46,11,11,81,0
94,63,Nebrasksa,basic,annual,0,debit,none,1/31/2016,0.356142482,0.245637184,0.02,5,3,3,42,14,5,99,0
95,26,California,premium,annual,0,credit,few,6/22/2016,7.08690089,1.480207187,0.08,117,68,5,103,15,5,156,0
96,34,Wisconsin,premium,monthly,1,debit,very frequent,11/14/2020,21.05030217,2.903427563,0.13,297,194,5,62,14,7,42,0
97,41,Washington,family premium,annual,0,debit,many,8/3/2013,24.92971971,3.31490155,0.97,365,305,6,71,13,4,2,0
98,62,West Virginia,family premium,monthly,0,venmo,very frequent,5/28/2020,23.70229631,2.84653515,0.49,380,276,6,50,18,18,1,0
99,33,Alabama,family premium,monthly,1,venmo,none,11/29/2017,22.8189571,3.281785687,0.42,344,187,8,88,9,3,0,0
100,41,Montana,basic,annual,0,credit,very frequent,2/5/2016,5.272278047,0.876599248,0.12,95,50,5,78,11,4,78,0
101,74,California,family premium,annual,0,credit,very frequent,10/22/2018,9.197714253,1.787844466,0.25,156,127,8,50,14,14,1,0
102,28,Georgia,basic,annual,0,venmo,many,1/21/2015,17.33228487,2.331034569,0.61,266,218,6,80,11,11,83,0
103,54,New Jersey,family premium,annual,0,venmo,very frequent,4/30/2014,4.564910855,0.672658559,0.49,57,34,6,65,13,7,1,0
104,19,Nebrasksa,student,annual,2,credit,few,6/28/2015,8.892682967,1.019191534,0.39,169,155,3,102,11,11,122,1
105,33,Idaho,premium,annual,1,debit,very frequent,2/8/2015,13.0515049,0.008683156,0.22,233,209,7,97,7,2,114,0
106,44,Nebrasksa,premium,annual,2,debit,very frequent,1/16/2020,13.63753284,2.358381018,0.04,263,169,7,66,13,13,33,0
107,70,Montana,family premium,monthly,2,venmo,some,9/22/2014,27.66297332,3.047828834,0.3,355,246,4,46,9,2,0,0
108,86,Montana,family premium,monthly,0,credit,some,12/2/2014,4.697080668,1.263307162,0.37,81,77,7,40,10,10,1,0
109,77,Vermont,basic,annual,1,debit,some,7/26/2014,1.297214549,0.63524267,0.04,17,15,2,31,10,10,69,0
110,40,Montana,basic,annual,1,credit,some,1/8/2021,18.61780599,2.488805235,0.28,259,141,5,56,8,2,30,0
111,48,Alabama,student,annual,2,credit,some,8/11/2015,17.44488622,0.245153857,0.2,287,240,4,57,8,8,78,0
112,29,Florida,student,annual,1,credit,many,12/10/2019,19.50393343,1.413585648,0.24,257,165,8,90,8,3,103,0
113,69,Utah,family premium,monthly,1,debit,very frequent,3/13/2021,24.5582924,1.768667727,0.64,387,199,8,31,3,2,0,0
114,43,Maine,family premium,annual,0,credit,few,9/27/2021,20.3990423,2.199802029,0.95,380,206,6,75,5,5,2,1
115,20,South Carolina,student,annual,1,credit,none,12/9/2020,18.43528639,1.76737658,0.01,302,155,8,93,20,10,36,0
116,50,West Virginia,premium,annual,2,debit,none,9/21/2019,10.8523851,2.143559936,0.14,153,88,3,49,17,17,109,0
117,70,Maine,basic,annual,2,venmo,some,7/29/2016,14.60625682,0.70640487,0.63,244,164,4,46,8,3,154,0
118,61,Washington,basic,annual,2,credit,some,10/19/2016,27.27175145,2.680235094,0.25,526,311,4,67,13,7,60,0
119,55,California,premium,monthly,0,credit,very frequent,4/30/2019,6.635116023,1.428572641,0.69,86,85,5,65,12,6,177,1
120,26,Vermont,premium,annual,2,credit,very frequent,7/13/2019,16.10319157,2.938973826,0.08,282,163,7,95,10,5,33,0
121,40,Washington,family premium,annual,2,credit,many,1/18/2013,7.449311743,0.426369219,0.31,134,122,6,89,13,13,0,0
122,76,Wisconsin,family premium,annual,0,debit,some,12/22/2018,27.09763971,4.20780699,0.07,361,251,6,48,11,11,0,0
123,40,Virginia,family premium,monthly,0,credit,some,4/29/2014,0.29923422,0.366935457,0.39,5,4,2,71,12,12,0,0
124,24,Montana,basic,annual,2,credit,few,11/4/2018,10.92545391,1.195481759,0.84,181,162,3,100,8,3,45,0
125,25,Florida,premium,annual,1,venmo,few,1/14/2014,25.71399272,2.042727782,0.4,372,279,8,94,9,9,90,1
126,39,California,basic,monthly,2,credit,many,2/7/2016,26.18211604,4.133244511,0.7,463,256,7,76,13,4,84,0
127,85,Nebrasksa,family premium,annual,2,credit,some,9/17/2015,16.86838677,3.10047055,0.6,213,126,3,21,13,3,1,0
128,70,Wisconsin,student,annual,2,debit,many,3/18/2016,11.39181153,1.845409127,0.93,148,81,6,34,12,4,58,0
129,77,Vermont,premium,annual,1,venmo,very frequent,2/15/2019,21.10499925,2.174629344,0.16,307,307,5,37,9,2,36,0
130,72,California,family premium,annual,2,credit,some,1/15/2017,25.9603359,4.204581079,0.71,353,224,4,40,14,14,1,0
131,46,California,basic,annual,2,debit,many,12/19/2019,30.96568989,1.104152825,0.22,386,248,4,58,14,14,34,0
132,58,South Carolina,basic,monthly,2,venmo,many,2/16/2015,20.15475068,3.464646077,0.31,299,256,7,64,21,5,132,0
133,32,Alabama,student,annual,2,credit,very frequent,8/16/2019,24.97836913,2.91603783,0.25,427,224,4,82,11,6,46,0
134,86,North Dakota,premium,annual,1,credit,very frequent,8/3/2014,25.09443875,3.591622523,0.73,343,199,8,29,15,5,113,0
135,19,North Dakota,family premium,annual,2,credit,few,2/4/2017,13.61778441,2.124918267,0.09,241,147,6,96,17,4,0,0
136,34,New York,family premium,monthly,1,debit,none,3/8/2017,17.4266851,0.045629644,0.38,274,156,5,83,12,6,1,0
137,79,Wisconsin,basic,monthly,1,credit,none,7/11/2014,1.31315158,0.429900117,0.28,21,11,2,48,13,7,82,0
138,59,Vermont,family premium,monthly,0,venmo,very frequent,9/10/2014,26.82963582,0.946485349,0.26,413,211,9,52,11,11,2,0
139,22,Idaho,student,annual,1,credit,many,1/20/2022,9.110816771,0.572358131,0.08,110,67,4,95,6,6,20,0
140,54,Florida,basic,monthly,1,credit,very frequent,6/19/2019,23.73646481,1.836704168,0.36,370,308,8,44,8,3,37,0
141,54,Vermont,basic,annual,1,venmo,many,8/12/2017,27.61673491,2.961572211,0.34,428,315,8,61,11,3,62,0
142,53,Utah,family premium,monthly,0,credit,many,3/22/2014,1.706804027,1.058720293,0.36,26,17,3,69,5,2,2,0
143,26,Idaho,family premium,monthly,1,credit,some,5/13/2015,10.14140264,1.526419262,0.62,185,108,7,85,6,3,0,0
144,69,Utah,premium,annual,0,credit,none,4/12/2018,0.684969486,0.917790949,1,11,8,3,47,6,3,63,0
145,50,Alabama,basic,monthly,2,credit,very frequent,7/12/2015,23.54898548,2.60920385,0.74,417,222,4,62,11,3,122,0
146,64,North Carolina,basic,monthly,2,credit,few,1/12/2022,3.979242714,0.945384327,0.64,49,27,2,44,21,7,27,0
147,65,Nebrasksa,student,annual,0,credit,many,12/12/2017,28.17272997,2.703977485,0.86,402,229,9,40,14,4,175,0
148,48,West Virginia,family premium,annual,2,credit,many,1/30/2016,1.172442397,0.972695871,0.08,17,10,1,79,17,17,1,0
149,69,North Dakota,basic,monthly,1,credit,very frequent,10/30/2019,21.30035375,0.115716789,0.05,283,248,8,52,18,18,80,0
150,49,West Virginia,premium,monthly,0,debit,very frequent,6/13/2015,16.3312491,0.623722843,0.28,305,299,9,69,18,18,266,0
151,28,Virginia,student,annual,2,venmo,some,1/29/2015,12.15595734,1.128020907,0.67,192,98,3,92,9,3,64,0
152,79,Georgia,basic,monthly,0,credit,many,3/12/2014,8.820221422,1.16184004,0.3,111,60,7,44,9,2,118,0
153,81,Montana,family premium,annual,1,credit,many,9/14/2021,8.009103904,1.009459767,0.91,118,76,6,16,8,2,2,1
154,27,Idaho,premium,annual,2,credit,some,6/11/2019,26.74616882,1.305168911,0.07,347,263,7,75,7,4,96,0
155,28,Virginia,student,annual,1,debit,few,1/31/2018,8.027063873,0.668120694,0.31,108,90,4,77,9,9,74,0
156,72,South Carolina,family premium,annual,0,debit,some,11/1/2014,4.559523287,0.051848824,0.45,65,57,4,58,18,9,0,0
157,24,Virginia,basic,annual,1,credit,none,10/16/2019,27.7528234,3.661259589,0.17,446,226,5,74,10,5,134,0
158,21,Maine,student,monthly,1,venmo,few,1/11/2020,19.62157787,1.25923808,0.3,251,154,7,92,5,5,43,0
159,82,Maine,student,annual,2,credit,some,1/29/2020,6.639307324,0.707488212,0.2,93,53,3,23,7,2,31,0
160,31,Virginia,student,annual,0,debit,some,12/26/2014,20.60993729,3.476824668,0.51,336,173,6,81,10,10,177,0
161,25,Alabama,premium,monthly,2,debit,many,12/31/2016,4.899368323,0.767218311,0.3,66,40,2,81,10,3,62,1
162,49,California,family premium,annual,0,debit,none,3/1/2020,14.47925214,2.76880188,0.11,209,162,8,52,12,6,0,1
163,18,West Virginia,student,annual,1,credit,many,8/6/2016,13.04144604,2.033925373,0.03,166,87,7,110,20,20,69,0
164,85,Alabama,premium,annual,1,credit,many,12/27/2015,9.320284628,2.231206512,0.08,140,117,7,42,10,10,60,0
165,59,New York,family premium,annual,0,debit,some,2/12/2021,21.85240121,1.226131815,0.98,415,236,9,55,12,6,1,0
166,23,New York,basic,annual,0,credit,none,8/15/2016,0.867580755,0.011794543,0.71,16,9,4,97,9,5,59,0
167,32,Vermont,family premium,monthly,2,credit,few,9/10/2017,17.26188148,1.119005851,0.22,256,187,4,79,11,11,2,0
168,67,Wisconsin,student,annual,0,debit,many,3/12/2014,1.594499846,0.729841458,0.16,24,19,5,50,13,13,101,0
169,31,Idaho,premium,annual,2,venmo,very frequent,3/29/2015,16.47667728,0.578390096,0.17,215,113,3,93,6,2,78,0
170,25,Washington,basic,annual,1,venmo,few,1/27/2018,23.30407959,0.262863152,0.8,319,196,8,78,15,4,124,0
171,52,West Virginia,premium,annual,2,credit,few,6/21/2014,18.00887737,1.409151922,0.3,222,220,3,72,19,5,89,0
172,29,Idaho,basic,annual,0,credit,many,6/6/2016,17.87519044,1.537364056,0.49,323,303,9,77,8,4,63,1
173,35,Utah,basic,annual,2,credit,none,3/26/2017,6.738235613,0.134657159,0.38,81,47,5,92,5,2,91,0
174,36,Wisconsin,premium,monthly,2,credit,none,9/13/2014,27.35566099,1.918849299,0.29,354,232,7,84,14,5,91,0
175,70,California,family premium,annual,2,venmo,many,4/12/2016,23.94701182,2.060909839,0.31,468,240,7,35,15,5,1,0
176,20,Georgia,student,annual,0,debit,many,5/3/2020,27.9075309,0.037199925,0.28,497,329,9,79,9,5,67,1
177,67,Montana,family premium,annual,0,credit,none,3/17/2019,1.344651198,0.421386151,0.32,17,10,5,38,8,4,2,0
178,48,North Carolina,basic,annual,0,credit,few,3/24/2015,26.20431631,0.898420094,0.72,347,267,6,75,21,11,218,0
179,78,New Jersey,family premium,monthly,1,credit,some,3/16/2015,10.46001847,2.353391281,0,163,140,7,40,13,4,1,0
180,50,Florida,premium,annual,1,credit,some,3/7/2015,15.75614757,0.56779805,0.04,218,134,4,69,10,10,329,0
181,36,North Carolina,family premium,annual,2,credit,few,11/12/2020,9.420504294,1.176590535,0.12,126,74,5,85,18,18,0,0
182,38,Vermont,premium,annual,2,debit,many,5/9/2021,12.29586707,0.893853302,0.31,163,113,6,58,9,3,29,0
183,40,New York,premium,annual,2,venmo,few,8/6/2020,27.06017315,1.320958359,0.17,361,186,7,79,11,4,42,1
184,81,Nebrasksa,basic,monthly,1,credit,many,7/27/2019,14.79765035,1.95076903,0.1,201,171,4,22,14,7,36,0
185,64,Idaho,family premium,monthly,2,credit,none,3/24/2020,0.503223447,0.920666548,0.53,9,7,1,44,8,8,1,0
186,32,Vermont,premium,monthly,1,debit,some,9/4/2015,21.91944131,0.790173438,0.19,427,365,5,93,8,8,283,0
187,29,Maine,premium,annual,2,venmo,few,6/25/2015,3.854382209,0.525036996,0.12,70,47,2,98,6,6,118,0
188,78,Washington,basic,annual,2,credit,very frequent,9/22/2014,21.6614678,0.990108363,0.79,303,237,4,47,13,3,128,0
189,81,Nebrasksa,premium,annual,2,credit,very frequent,11/7/2015,0.39445816,0.411448619,0.13,5,4,1,37,11,11,105,0
190,19,Maine,student,monthly,2,credit,few,1/20/2022,10.81533143,0.686103398,0.97,172,106,3,77,5,3,16,0
191,46,Georgia,basic,annual,1,debit,some,5/7/2014,21.72712871,2.128096262,0.34,326,171,8,62,8,2,70,0
192,53,North Dakota,family premium,annual,0,credit,none,3/13/2013,24.34164149,1.679434562,0.36,376,244,6,64,17,17,0,1
193,78,Virginia,premium,annual,1,credit,none,7/6/2021,5.652137687,0.715082771,0.25,107,94,4,34,11,6,24,0
194,60,Nebrasksa,basic,annual,2,credit,very frequent,5/23/2020,16.15888928,1.081322295,0.07,316,248,4,52,12,12,63,0
195,44,South Carolina,basic,monthly,1,credit,some,9/29/2015,17.15043274,1.865700875,0,216,179,7,70,21,7,77,0
196,76,Maine,basic,annual,0,credit,few,3/7/2017,13.95223629,2.285034833,0.21,219,169,8,48,6,2,135,0
197,72,Alabama,premium,annual,2,venmo,none,5/24/2016,30.75837198,0.872582227,0.6,420,215,7,45,10,3,68,1
198,26,Wisconsin,premium,monthly,1,debit,few,7/27/2019,28.51811552,3.342156881,0,347,241,8,94,13,3,42,0
199,32,North Carolina,premium,annual,1,debit,none,7/7/2021,16.78098222,2.366887463,0.33,219,177,7,67,19,6,36,0
200,77,Montana,family premium,annual,1,debit,many,8/24/2020,14.84902251,1.156649309,0.21,217,130,4,35,9,5,0,1
201,66,Nebrasksa,family premium,annual,0,credit,very frequent,11/27/2015,26.24835139,1.591289943,0.08,358,185,6,57,11,6,0,0
202,75,California,family premium,annual,1,venmo,some,10/20/2014,16.63259866,1.1213367,0.87,200,106,7,37,13,3,0,0
203,59,New York,basic,monthly,2,credit,many,11/20/2013,6.254590432,1.375652562,0.13,84,47,5,53,12,6,68,0
204,58,New Jersey,family premium,annual,1,debit,few,5/17/2016,16.09008624,0.309139785,0.08,196,189,7,58,12,6,0,0
205,34,California,family premium,annual,2,venmo,few,8/20/2019,4.335400909,0.792985441,0.47,74,66,5,83,14,7,1,0
206,72,New York,family premium,annual,0,venmo,some,2/22/2014,25.11146087,1.407045288,0.82,436,317,6,43,12,3,0,0
207,41,Utah,family premium,annual,2,debit,very frequent,3/30/2019,21.83813617,0.920661539,0.61,282,155,4,69,3,1,1,0
208,20,West Virginia,student,monthly,1,venmo,many,8/21/2013,6.458024304,1.236399462,0.2,105,55,4,89,18,5,120,0
209,24,Wisconsin,basic,annual,2,credit,few,6/3/2015,13.81734566,1.030885549,0.32,229,144,3,91,13,7,68,0
210,35,Nebrasksa,family premium,monthly,0,debit,some,8/25/2015,10.39796602,1.007171919,0.49,162,138,8,94,12,12,0,0
211,61,North Dakota,family premium,annual,0,credit,very frequent,8/13/2020,19.84914343,1.628580721,0.11,356,240,9,54,18,9,1,0
212,46,North Dakota,student,annual,2,debit,few,9/19/2016,9.516379765,0.391439235,0.12,128,65,5,74,17,9,109,0
213,43,Florida,family premium,annual,0,credit,none,10/23/2013,13.29934352,1.652055206,0.09,231,227,8,76,10,5,0,0
214,44,Washington,premium,annual,2,debit,none,4/9/2020,23.59844676,3.58847072,0.47,354,281,4,75,13,3,27,0
215,80,New Jersey,premium,annual,1,credit,few,9/12/2015,30.00315625,1.942190714,0.04,435,410,8,40,15,8,78,0
216,37,North Carolina,family premium,annual,0,credit,very frequent,5/2/2014,16.42297453,1.678785661,0.31,264,141,9,80,18,18,1,0
217,48,Nebrasksa,basic,monthly,0,credit,some,1/22/2013,6.018341356,0.056993062,0.48,109,62,5,71,11,6,145,0
218,81,California,family premium,monthly,0,debit,none,2/19/2018,12.02320665,0.56990939,0.32,233,152,5,40,12,12,2,0
219,31,Montana,premium,annual,0,credit,some,8/31/2018,12.09906522,1.923426784,0.05,182,155,8,90,11,3,126,0
220,57,Georgia,premium,annual,1,credit,some,9/21/2020,9.472795107,2.094080773,0.09,182,118,7,51,8,8,29,0
